UniqueID,ParcelID,LandUse,PropertyAddress,SaleDate,SalePrice,LegalReference,SoldAsVacant,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,property_street,property_city,owner_street,owner_city,owner_state
2045,"007 00 0 125.00","SINGLE FAMILY","1808  FOX CHASE DR, GOODLETTSVILLE",2013-04-09,240000.00,20130412-0036474,No,2.3,"GENERAL SERVICES DISTRICT",50000.00,168200.00,235700.00,1986,3,3,0,"1808  FOX CHASE DR"," GOODLETTSVILLE","1808  FOX CHASE DR"," GOODLETTSVILLE"," TN"
16918,"007 00 0 130.00","SINGLE FAMILY","1832  FOX CHASE DR, GOODLETTSVILLE",2013-04-09,366000.00,20140619-0053768,No,3.5,"GENERAL SERVICES DISTRICT",50000.00,264100.00,319000.00,1998,3,3,2,"1832  FOX CHASE DR"," GOODLETTSVILLE","1832  FOX CHASE DR"," GOODLETTSVILLE"," TN"
54582,"007 00 0 138.00","SINGLE FAMILY","1864 FOX CHASE  DR, GOODLETTSVILLE",2013-04-09,435000.00,20160927-0101718,No,2.9,"GENERAL SERVICES DISTRICT",50000.00,216200.00,298000.00,1987,4,3,0,"1864 FOX CHASE  DR"," GOODLETTSVILLE","1864  FOX CHASE DR"," GOODLETTSVILLE"," TN"
43070,"007 00 0 143.00","SINGLE FAMILY","1853  FOX CHASE DR, GOODLETTSVILLE",2013-04-09,255000.00,20160129-0008913,No,2.6,"GENERAL SERVICES DISTRICT",50000.00,147300.00,197300.00,1985,3,3,0,"1853  FOX CHASE DR"," GOODLETTSVILLE","1853  FOX CHASE DR"," GOODLETTSVILLE"," TN"
22714,"007 00 0 149.00","SINGLE FAMILY","1829  FOX CHASE DR, GOODLETTSVILLE",2013-04-09,278000.00,20141015-0095255,No,2,"GENERAL SERVICES DISTRICT",50000.00,152300.00,202300.00,1984,4,3,0,"1829  FOX CHASE DR"," GOODLETTSVILLE","1829  FOX CHASE DR"," GOODLETTSVILLE"," TN"
18367,"007 00 0 151.00","SINGLE FAMILY","1821  FOX CHASE DR, GOODLETTSVILLE",2013-04-09,267000.00,20140718-0063802,No,2,"GENERAL SERVICES DISTRICT",50000.00,190400.00,259800.00,1980,3,3,0,"1821  FOX CHASE DR"," GOODLETTSVILLE","1821  FOX CHASE DR"," GOODLETTSVILLE"," TN"
19804,"007 14 0 002.00","SINGLE FAMILY","2005  SADIE LN, GOODLETTSVILLE",2013-04-09,171000.00,20140903-0080214,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,137900.00,177900.00,1976,3,2,0,"2005  SADIE LN"," GOODLETTSVILLE","2005  SADIE LN"," GOODLETTSVILLE"," TN"
54583,"007 14 0 024.00","SINGLE FAMILY","1917 GRACELAND  DR, GOODLETTSVILLE",2013-04-09,262000.00,20161005-0105441,No,1.03,"GENERAL SERVICES DISTRICT",40000.00,157900.00,197900.00,1978,3,2,0,"1917 GRACELAND  DR"," GOODLETTSVILLE","1917  GRACELAND DR"," GOODLETTSVILLE"," TN"
36500,"007 14 0 026.00","SINGLE FAMILY","1428  SPRINGFIELD HWY, GOODLETTSVILLE",2013-04-09,285000.00,20150819-0083440,No,1.67,"GENERAL SERVICES DISTRICT",45400.00,176900.00,222300.00,2000,3,2,1,"1428  SPRINGFIELD HWY"," GOODLETTSVILLE","1428  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
19805,"007 14 0 034.00","SINGLE FAMILY","1420  SPRINGFIELD HWY, GOODLETTSVILLE",2013-04-09,340000.00,20140909-0082348,No,1.3,"GENERAL SERVICES DISTRICT",40000.00,179600.00,219600.00,1995,5,3,0,"1420  SPRINGFIELD HWY"," GOODLETTSVILLE","1420  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
4512,"007 15 0 002.00","SINGLE FAMILY","629  GAYLEMORE DR, GOODLETTSVILLE",2013-04-09,189900.00,20130612-0059715,No,1.07,"GENERAL SERVICES DISTRICT",40000.00,203600.00,243600.00,2006,4,4,0,"629  GAYLEMORE DR"," GOODLETTSVILLE","629  GAYLEMORE DR"," GOODLETTSVILLE"," TN"
